"","title","avg_rating","genres","author","num_pages","price","publish_date","rating_1","rating_2","rating_3","rating_4","rating_5","review"
"374","The Name of the Rose",4.12,"Historical Fiction, Mystery, Historical, Classics, Fiction, Literature","Umberto Eco",536,"$10.52","9/28/94",5410,11507,41358,90709,111822,52161
"375","The Handmaid's Tale",4.09,"Classics, Feminism, Fiction, Science Fiction, Dystopia","Margaret Atwood",344,"$1.99","3/16/98",22101,48058,172817,386070,433263,212462
"376","Life Song",4.21,"","Christine M. Knight",338,"$22.29","10/14/13",4,4,9,10,44,14
"377","The French Lieutenant's Woman",3.87,"Romance, Fiction, Historical Fiction, Historical, Classics","John Fowles",470,"$300.00","4/26/09",879,2629,10426,16754,12497,8637
"378","Three Comrades",4.48,"Fiction, Historical Fiction, Novels, Literature, European Literature, Germany, Historical, German Literature, Cultural, War, Drama, Classics","Erich Maria Remarque",496,"$14.02","1/27/98",110,359,1862,5477,12956,4153
"379","Housekeeping",3.82,"Fiction, Literature, Literary Fiction, Novels, Classics","Marilynne Robinson",219,"$12.00","11/1/04",1094,3274,8204,11581,11539,7138
"380","Madame Bovary",3.66,"European Literature, Historical Fiction, Historical, Cultural, Classics, 19th Century, Romance, Fiction, Literature, French Literature, Novels, France, Classic Literature","Gustave Flaubert",329,"$114.96","4/26/04",8554,21303,59560,73008,54570,43399
"381","Hiroshima",3.96,"Nonfiction, Japan, History, Cultural, World War II, War, Classics","John Hersey",152,"$5.95","3/4/89",913,2497,11295,19911,17021,10327
"382","Where the Red Fern Grows",4.06,"Fiction, Young Adult, Classics, Childrens","Wilson Rawls",272,"$27.95","5/9/00",7043,16152,57350,98310,129607,61692
"383","Where the Red Fern Grows",4.06,"Fiction, Young Adult, Classics, Childrens","Wilson Rawls",212,"$27.95","7/26/96",7044,16152,57351,98313,129610,61694
"384","For the Love of Armin",4.32,"Romance, New Adult, Fiction, Historical Fiction, Young Adult, Adult, Historical, Love Story, Novels, Adventure","Michael   Kramer",325,"$24.51","5/26/17",0,0,136,741,611,298
"385","The Beekeeper's Apprentice",4.07,"Fiction, Mystery, Historical, Historical Fiction","Laurie R. King",341,"$300.00","3/26/02",1265,2693,11039,22924,24635,12511
"386","The Game of Kings",4.2,"Fiction, Historical Fiction, Fantasy, Scotland, Cultural, Historical, Adventure","Dorothy Dunnett",543,"$9.02","4/29/97",253,339,816,1748,3643,1360
"387","Anne of Avonlea",4.22,"Historical Fiction, Historical, Childrens, Classics, Fiction, Young Adult","L.M. Montgomery",304,"$49.99","10/6/97",778,2734,19335,44839,54188,24375
"388","Fire",4.12,"Fiction, Young Adult, Romance, Fantasy","Kristin Cashore",480,"$1.52 to $24.51","10/5/09",2582,6586,24973,49921,63471,29507
"389","The Host",3.84,"Romance, Science Fiction, Fiction, Young Adult, Fantasy","Stephenie Meyer",620,"$6.30","5/6/08",46355,66414,165093,241418,305546,164965
"390","The Witches",4.17,"Fiction, Childrens, Fantasy","Roald Dahl",208,"$12.98","4/26/97",4081,8949,45005,90351,122099,54097
"391","The God of Small Things",3.93,"Historical Fiction, Contemporary, Historical, Cultural, Fiction, India","Arundhati Roy",340,"$5.55","4/26/97",6525,14373,42618,71862,76365,42349
"392","Lightning",4.07,"Fiction, Science Fiction, Thriller, Horror, Time Travel","Dean Koontz",384,"$0.99 to $2.89","9/2/03",459,1844,10924,18495,19437,10232
"393","Pure",4.33,"Romance, Young Adult, Fantasy, Paranormal, Mythology","Jennifer L. Armentrout",329,"$3.09 to $5.79","4/3/12",522,1263,6227,16973,27530,10503
"394","The New York Trilogy",3.91,"Mystery, Fiction, Literature, Novels, American","Paul Auster",308,"$9.06","3/28/06",1002,3253,10882,20185,15653,10195
"395","Lunar Park",3.61,"Horror, Mystery, Fiction, Thriller, Novels","Bret Easton Ellis",404,"$10.52","8/29/06",761,2279,6014,7243,4713,4202
"396","The Angel's Game",3.9,"Mystery, Fiction, Historical Fiction, Fantasy, Spain, Historical, Cultural","Carlos Ruiz Zafí_n",531,"$82.07","6/16/09",1293,5755,22028,35703,27975,18551
"397","The Alchemyst",3.85,"Fantasy, Fiction, Magic, Young Adult","Michael Scott",390,"$7.14","8/5/10",3961,9404,29824,42132,40992,25263
"398","Demian. Die Geschichte von Emil Sinclairs Jugend",4.12,"European Literature, German Literature, Classics, Fiction, Literature, Novels, Philosophy","Hermann Hesse",194,"$12.26","12/7/96",671,2489,10871,21365,25005,12080
"399","Leaves of Grass",4.12,"Academic, School, Classics, American, 19th Century, Fiction, Literature, The United States Of America, Poetry, Philosophy, Classic Literature","Walt Whitman",624,"$134.99","8/1/06",1769,3713,13270,24940,35814,15901
"400","Crossing to Safety",4.16,"Fiction, Book Club, Literary Fiction, Novels, Classics","Wallace Stegner",368,"$14.02","4/9/02",331,1300,5307,12165,14155,6652
"401","Memoirs of Hadrian",4.25,"France, Fiction, Historical Fiction, Cultural, Historical, Classics","Marguerite Yourcenar",347,"$13.54","5/18/05",238,615,2049,4599,7781,3056
"402","A Wizard of Earthsea",4,"Fiction, Young Adult, Classics, Fantasy","Ursula K. Le Guin",183,"$17.68","9/28/04",3856,10548,40748,70054,73682,39778
"403","Far From the Madding Crowd",3.93,"Historical Fiction, European Literature, Historical, Classics, 19th Century, Romance, Fiction, Literature, Victorian, Novels, Classic Literature, British Literature","Thomas Hardy",433,"$18.47","2/27/03",2502,6291,24881,42837,37536,22809
"404","The Sorrows of Young Werther",3.65,"European Literature, German Literature, Classics, Fiction, Literature","Johann Wolfgang von Goethe",149,"$10.16","2/8/05",2869,6781,17829,21750,17031,13252
"405","The Selfish Gene",4.13,"Nonfiction, Philosophy, Evolution, Science, Biology","Richard Dawkins",360,"$2.22","5/25/06",3154,4806,17929,39190,52540,23524
"406","The Book of Three",4,"Fantasy, Fiction, Childrens, Young Adult","Lloyd Alexander",190,"$4.33","5/16/06",1163,2607,14031,24377,22843,13004
"407","Elsewhere",3.92,"Romance, Fiction, Young Adult, Fantasy, Death","Gabrielle Zevin",277,"$3.81","5/15/07",999,3214,10459,15594,16030,9259
"408","Ptolemy's Gate",4.25,"Young Adult, Fantasy","Jonathan Stroud",501,"$31.59","1/1/06",1020,2108,10596,25324,37066,15223
"409","Last Sacrifice",4.4,"Paranormal, Vampires, Romance, Young Adult, Fantasy","Richelle Mead",594,"$7.89","12/7/10",3572,6295,25361,60756,146537,48504
"410","Ham on Rye",4.15,"Fiction, Literature, Novels, Classics, American","Charles Bukowski",288,"$2,000.00","7/29/14",808,2258,11175,28409,29210,14372
"411","King Lear",3.9,"Fiction, Classics, Drama, Plays","William Shakespeare",316,"$29.56","4/26/04",3053,11341,39646,53138,55514,32538
"412","Choke",3.7,"Fiction, Humor, Contemporary, Novels","Chuck Palahniuk",293,"$79.16 to $83.56","6/26/02",4825,14693,49456,65252,40285,34902
"413","The Sword of Shannara",3.76,"Fantasy, Epic Fantasy, Fiction","Terry Brooks",726,"$125.00","4/26/99",3153,6636,18249,24853,22957,15170
"414","Ship of Magic",4.15,"Fantasy, Epic Fantasy, Fiction, High Fantasy","Robin Hobb",880,"$618.83","3/26/99",583,1819,8462,19825,21488,10435
"415","Rise of the Evening Star",4.14,"Fiction, Fantasy, Young Adult, Childrens, Middle Grade","Brandon Mull",456,"$7.25","4/24/07",3462,4052,16145,33733,49417,21362
"416","The Plains of Passage",3.79,"Romance, Fiction, Historical Fiction, Fantasy, Historical","Jean M. Auel",784,"$6.84","6/25/02",775,3794,13070,15381,13342,9272
"417","The Kill Order",3.71,"Young Adult, Dystopia, Science Fiction","James Dashner",327,"$5.60","8/14/12",6048,15023,37175,42192,44034,28894
"418","Stranger in a Strange Land",3.91,"Science Fiction, Science Fiction Fantasy, Classics, Fiction","Robert A. Heinlein",528,"$4.95","10/1/91",11102,17793,49571,77012,96987,50493
"419","The Thief Lord",3.96,"Fantasy, Fiction, Childrens, Young Adult","Cornelia Funke",350,"$9.21","7/17/02",873,3709,17781,28398,24747,15102
"420","The Lorax",4.35,"Fiction, Childrens, Picture Books","Dr. Seuss",72,"$13.90","2/24/98",3732,7652,31782,61370,144601,49827
"421","Germinal",4.12,"France, Fiction, European Literature, Cultural, French Literature, Classics","í_mile Zola",592,"$3.46","1/29/04",514,1146,4179,8589,11068,5099
"422","Under the Dome",3.9,"Horror, Science Fiction, Fiction","Stephen King",1074,"$17.00","11/10/09",5674,14885,51145,84928,74767,46280
"423","The Waste Land",4.11,"20th Century, Classics, Fiction, Literature, Poetry","T.S. Eliot",320,"$5.49","12/1/00",860,1807,6302,11667,16430,7413
"424","The Stand (Complete and Uncut)",4.34,"Horror, Post Apocalyptic, Science Fiction, Fiction, Apocalyptic, Fantasy","Stephen King",1153,"$7.23","5/1/90",6785,15648,64074,153181,300954,108128
"425","Valley of the Dolls",3.73,"Womens Fiction, Classics, Chick Lit, Romance, Fiction","Jacqueline Susann",442,"$11.74","9/22/97",1151,3944,12350,14961,11772,8836
"426","The Diary of a Young Girl",4.12,"Nonfiction, Classics, Memoir, Biography, History, Autobiography","Anne Frank",304,"$1.96","7/26/93",54309,102428,397587,757507,1061968,474760
"427","The Color Purple",4.19,"Historical Fiction, Historical, Classics, Feminism, Fiction","Alice Walker",295,"$9.66","4/1/04",6764,15584,68100,158765,206900,91223
"428","Lonesome Dove",4.49,"Historical Fiction, Historical, Classics, Fiction, Westerns","Larry McMurtry",945,"$12.50","10/1/99",1196,2389,11583,32700,83876,26349
"429","1Q84",3.91,"Cultural, Japan, Fiction, Science Fiction, Magical Realism, Fantasy","Haruki Murakami",925,"$500.00","10/25/11",4552,11522,34381,62209,56099,33753
"430","The Ruins of Gorlan",4.22,"Fiction, Young Adult, Adventure, Fantasy","John Flanagan",249,"$30.00","6/8/06",1464,3343,15928,35558,50346,21328
"431","The Summer Garden",4.11,"Romance, Fiction, Historical Fiction, Historical, Historical Romance","Paullina Simons",742,"$30.00","11/22/07",643,1233,3732,6318,10642,4514
"432","In Search of Lost Time",4.34,"France, Fiction, Literature, European Literature, Philosophy, Cultural, French Literature, Classics","Marcel Proust",4211,"$13.29","6/3/03",241,367,958,2052,5511,1826
"433","Everything, Everything",4.08,"Young Adult, Fiction, Romance, Contemporary","Nicola Yoon",306,"$39.99","9/1/15",4642,13423,49616,96452,113314,55489
"434","The Light Between Oceans",4.02,"Australia, Fiction, Historical Fiction, Book Club, Cultural, Historical","M.L. Stedman",343,"$7.24","7/31/12",4278,14557,67615,149514,116537,70500
"435","Playing for Keeps",4.07,"Romance, Humor, Contemporary, Funny, Adult, Contemporary Romance","R.L. Mathewson",330,"$3.84","4/29/11",2351,4882,17257,33862,40514,19773
"436","Battle Royale",4.25,"Horror, Young Adult, Fiction, Science Fiction, Thriller, Dystopia","Koushun Takami",617,"$34.88","2/26/03",489,1431,6335,16177,22396,9366
"437","Red Queen",4.07,"Dystopia, Romance, Science Fiction, Young Adult, Fantasy","Victoria Aveyard",383,"$4.16","2/10/15",11543,23420,74032,142252,184169,87083
"438","Red Queen",4.07,"Romance, Fantasy, Young Adult, Dystopia, Science Fiction","Victoria Aveyard",383,"$4.16","2/10/15",11547,23424,74045,142272,184192,87096
"439","Still Life with Woodpecker",4.04,"Fiction, Humor, Literature, Novels","Tom Robbins",288,"$450.00","4/9/01",1064,2997,12544,24835,24618,13212
"440","The Restaurant at the End of the Universe",4.22,"Science Fiction, Humor, Fiction, Fantasy","Douglas Adams",250,"$99.95","4/26/05",827,4348,31276,77782,87453,40337
"441","Lies",4.09,"Young Adult, Dystopia, Science Fiction, Fantasy","Michael  Grant",447,"$2.57","5/4/10",876,2436,10784,19117,23333,11309
"442","A Prayer for Owen Meany",4.23,"Fiction, Classics, Literature, Contemporary","John Irving",637,"$10.52","4/26/90",5026,10532,36425,82811,133993,53757
"443","The Prophet",4.23,"Religion, Spirituality, Classics, Fiction, Poetry, Philosophy","Kahlil Gibran",127,"$35.06","1/1/10",3289,7769,28596,55540,98805,38800
"444","Shadowland",4.04,"Romance, Young Adult, Fantasy, Paranormal, Ghosts","Meg Cabot",287,"$13.47","4/26/05",894,2576,12084,20055,22522,11626
"445","Shadowland",3.66,"Young Adult, Romance, Paranormal, Fantasy","Alyson Noel",339,"$13.47","11/17/09",3600,8544,20086,19350,22734,14863
"446","The Elephant Tree",3.54,"Mystery, Drama, Fiction, Crime, Thriller","R.D. Ronald",252,"$23.00","4/26/10",1680,1737,3837,4022,4927,3241
"447","The Exorcist",4.16,"Horror, Paranormal, Classics, Fiction, Thriller, Fantasy","William Peter Blatty",385,"$27.99","2/1/94",2678,5701,26177,51401,70543,31300
"448","Wild Magic",4.33,"Fantasy, Fiction, Magic, Young Adult","Tamora Pierce",362,"$4.72","6/1/05",371,1302,8485,20243,33571,12794
"449","The Golden Lily",4.35,"Paranormal, Vampires, Romance, Young Adult, Fantasy","Richelle Mead",418,"$1.99","6/12/12",728,1949,11589,31448,52252,19593
"450","The Satanic Verses",3.71,"India, Fiction, Fantasy, Literature, Cultural, Magical Realism, Classics","Salman Rushdie",561,"$205.00","4/26/97",2400,4418,11383,16450,13584,9647
"451","Moon Palace",3.98,"Literature, Contemporary, Fiction, American","Paul Auster",320,"$14.82","4/1/90",232,831,3629,7221,5702,3523
"452","The No. 1 Ladies' Detective Agency",3.77,"Africa, Mystery, Cultural, Fiction, Crime","Alexander McCall Smith",235,"$10.11","2/6/03",6970,16030,54248,74408,59153,42162
"453","The Sea of Monsters",4.24,"Fiction, Young Adult, Mythology, Fantasy","Rick Riordan",279,"$4.00","4/1/06",3268,15485,103045,218482,295208,127098
"454","Stargirl",3.75,"Realistic Fiction, Contemporary, Romance, Fiction, Young Adult","Jerry Spinelli",186,"$58.07","9/26/02",10505,24248,68296,83494,82341,53777
"455","Tangled",4.1,"Romance, Humor, Contemporary, Funny, Adult, New Adult, Contemporary Romance","Emma Chase",254,"$37.99","8/2/13",2719,4775,16194,31808,43684,19836
"456","The Power of Myth",4.3,"Religion, Nonfiction, Psychology, History, Philosophy, Mythology, Fantasy","Joseph Campbell",320,"$5.94","6/1/88",468,1082,4976,11962,20235,7745
"457","Crescendo",4.06,"Paranormal, Romance, Young Adult, Angels, Fantasy","Becca Fitzpatrick",432,"$79.95","10/19/10",5842,15379,47232,73583,110609,50529
"458","The Maze Runner",4.03,"Science Fiction, Young Adult, Dystopia","James Dashner",384,"$1.49","10/6/09",17539,49254,170492,303373,344025,176937
"459","Watchmen",4.36,"Graphic Novels, Sequential Art, Comics, Science Fiction, Fiction, Fantasy","Alan Moore",416,"$1.28","4/26/05",7000,12672,48141,126268,253460,89508
"460","The False Prince",4.23,"Fiction, Fantasy, Young Adult, Childrens, Middle Grade, Adventure","Jennifer A. Nielsen",342,"$22.11","4/1/12",857,1925,8748,21881,29679,12618
"461","A Walk in the Woods: Rediscovering America on the Appalachian Trail",4.06,"Humor, Nonfiction, Nature, Memoir, Travel, Environment, Autobiography, Adventure","Bill Bryson",397,"$1.99","12/26/06",4359,12119,58333,121215,112888,61783
"462","The Brothers K",4.38,"Sports, Fiction, Historical Fiction, Novels, Historical, Baseball, Sports and Games","David James Duncan",645,"$35.05","6/1/96",172,387,1239,3658,7502,2592
"463","Down and Rising",4.97,"","Rohith S. Katbamna",676,"$995.00","1/12/19",0,0,0,1,38,8
"464","The Reckoning",4.21,"Urban Fantasy, Paranormal, Romance, Young Adult, Supernatural, Fantasy","Kelley Armstrong",391,"$0.99","4/6/10",1335,3695,16908,30890,49645,20495
"465","The Collector",3.99,"Fiction, Classics, Thriller, Horror","John Fowles",283,"$5.50","10/21/98",620,2144,9391,18179,15211,9109
"466","Rapture",4.02,"Romance, Young Adult, Fantasy, Paranormal, Angels","Lauren Kate",466,"$29.95 to $45.95","6/12/12",2540,6138,18631,27213,40803,19065
"467","The Waves",4.14,"Novels, Literature, Classics, Fiction","Virginia Woolf",297,"$34.80","6/1/78",548,1200,3714,6813,11033,4662
"468","Daughter of Fortune",3.9,"Romance, Adult Fiction, Fiction, Historical Fiction, Literature, Adult, European Literature, Historical, Novels, Magical Realism, Spanish Literature","Isabel Allende",432,"$4.33","5/2/06",1299,5198,25801,42548,29544,20878
"469","Bel Canto",3.93,"Fiction, Contemporary, Book Club, Literary Fiction","Ann Patchett",352,"$1,830.00","8/2/05",4872,14608,47569,79051,75286,44277
"470","Falling Up",4.34,"Young Adult, Childrens, Poetry, Humor","Shel Silverstein",178,"$4.23","8/1/03",1222,2913,15849,32757,64734,23495
"471","Bird by Bird: Some Instructions on Writing and Life",4.24,"Nonfiction, Writing, Language, Autobiography, Memoir","Anne Lamott",237,"$3.99","9/1/95",553,1952,9491,24063,30818,13375
"472","Alias Grace",4.02,"Mystery, Fiction, Historical Fiction, Canada, Cultural, Historical","Margaret Atwood",636,"$14.99","10/1/98",801,3145,18099,39724,28683,18090
"473","Graceling",4.09,"Fiction, Young Adult, Romance, Fantasy","Kristin Cashore",471,"$7.63","10/1/08",8237,16667,57044,114870,146298,68623
"474","The Big Sleep",4.01,"Mystery, Classics, Fiction, Crime, Detective, Noir","Raymond Chandler",231,"$6.80","7/12/88",2055,5028,20546,40229,38100,21192
"475","Out of Sight, Out of Time",4.32,"Young Adult, Mystery, Romance, Contemporary","Ally Carter",294,"$18.51","3/13/12",846,1232,5777,14015,26099,9594
"476","Emma",3.99,"Fiction, Classics, Romance","Jane Austen",474,"$27.99","5/6/03",13002,28925,114033,200712,207288,112792
"477","The Count of Monte Cristo",4.24,"Historical Fiction, Historical, Classics, Fiction, Adventure","Alexandre Dumas",1276,"$25.17","5/27/03",11227,24214,97072,202192,338888,134719
"478","The Hero and the Crown",4.21,"Fiction, Fantasy, Young Adult, Dragons, Adventure","Robin McKinley",240,"$224.99","4/15/87",680,1612,7499,15320,22839,9590
"479","Good in Bed",3.71,"Romance, Womens Fiction, Contemporary, Fiction, Chick Lit","Jennifer Weiner",376,"$73.00","4/2/02",12893,21431,69427,89202,74418,53474
"480","Midnight Sun",4.03,"Paranormal, Vampires, Romance, Young Adult, Fantasy","Stephenie Meyer",264,"$36.88","8/28/08",6365,9365,23965,36354,65368,28283
"481","The Winter of Our Discontent",3.99,"Literature, Classics, Fiction","John Steinbeck",336,"$222.35","8/26/08",396,1532,7490,13746,11482,6929
"482","Sonnets",4.24,"Fiction, Classics, Poetry","William Shakespeare",488,"$6.39","8/21/97",1118,2221,11004,22651,36891,14777
"483","The Forever War",4.15,"Science Fiction Fantasy, Time Travel, Speculative Fiction, Fiction, Space, Space Opera, Science Fiction, Military Fiction, War, Classics","Joe Haldeman",278,"$450.00","9/2/03",1139,3912,19951,46287,49710,24200
"484","No Country for Old Men",4.13,"Mystery, Fiction, Crime, Literature, Thriller, Westerns","Cormac McCarthy",309,"$5.57","7/11/06",1738,4337,18858,51233,49560,25145
"485","Little Dorrit",3.98,"Classics, Fiction","Charles Dickens",1021,"$232.31","9/25/03",1037,2165,8469,14385,15150,8241
"486","The Princess Diaries",3.78,"Romance, Womens Fiction, Fiction, Contemporary, Young Adult, Chick Lit","Meg Cabot",283,"$24.95","7/1/01",5830,17703,61951,67424,66023,43786
"487","The Green Mile",4.44,"Horror, Fiction, Thriller, Fantasy","Stephen King",592,"$2.10","9/1/96",800,3280,21497,67391,126310,43856
"488","The Importance of Being Earnest",4.17,"Humor, Academic, Comedy, School, Classics, Romance, Drama, Plays, Fiction, Literature, Theatre","Oscar Wilde",76,"$6.80","1/1/05",2848,8850,44691,99750,117568,54741
"489","Watership Down",4.06,"Classics, Fiction, Young Adult, Animals, Fantasy","Richard  Adams",478,"$59.00","6/26/75",10903,17860,59397,115820,150502,70896
"490","Being and Time",4.01,"Philosophy, Nonfiction, Classics","Martin Heidegger",589,"$11.41","8/1/62",611,1021,3327,5388,7464,3562
"491","Embrace",4.01,"Romance, Young Adult, Fantasy, Paranormal, Angels","Jessica Shirvington",382,"$39.99","10/1/10",884,1536,4337,7524,10201,4896
"492","Breakfast of Champions",4.08,"Humor, Classics, Fiction, Science Fiction, Literature","Kurt Vonnegut",303,"$87.64","5/26/99",2411,8039,37590,79003,77175,40844
"493","The Garden of Eden",3.74,"Novels, Literature, Classics, Fiction","Ernest Hemingway",248,"$58.36","4/26/03",401,1363,4241,5452,4071,3106
"494","Island of the Blue Dolphins",3.82,"Historical Fiction, Historical, Childrens, Classics, Fiction, Young Adult","Scott O'Dell",184,"$7.45","2/1/87",8560,20139,65584,86894,83916,53019
"495","Just One Day",4.01,"Romance, Travel, Womens Fiction, Fiction, Contemporary, Young Adult, Young Adult Contemporary, Realistic Fiction, Teen, New Adult, Chick Lit","Gayle Forman",369,"$5.29","8/20/13",1743,3522,13806,26747,27042,14572
"496","The Night Circus",4.04,"Historical Fiction, Historical, Romance, Fiction, Fantasy","Erin Morgenstern",387,"$15.00","9/13/11",13424,34154,99819,187857,230253,113101
"497","Reaper Man",4.28,"Fantasy, Humor, Fiction","Terry Pratchett",352,"$5.52","4/1/05",169,1226,10208,26885,33699,14437
"498","The Van Alen Legacy",3.95,"Young Adult, Vampires, Paranormal, Fantasy","Melissa de la Cruz",369,"$5.60","10/6/09",1367,4094,14740,18820,23974,12599
"499","Flowers in the Attic",3.8,"Fiction, Young Adult, Mystery, Horror","V.C. Andrews",389,"$92.40","4/26/79",4927,11389,33720,43814,44164,27603
"500","The Raven and Other Poems",4.3,"Horror, Poetry, Fiction, Classics","Edgar Allan Poe",73,"$45.00","9/1/02",345,898,5586,12468,20436,7947
"501","Love You Forever",4.35,"Childrens, Picture Books","Robert Munsch",32,"$56.19","9/1/95",6666,7015,18651,32701,117237,36454
"502","The Martian",4.4,"Science Fiction, Fiction","Andy Weir",369,"$8.01","2/11/14",5285,13627,61544,218060,376474,134998
"503","The Longest Ride",4.14,"Romance, Womens Fiction, Contemporary, Fiction, Chick Lit","Nicholas Sparks",398,"$13.33","9/17/13",1195,3888,17325,35966,43182,20311
"504","The English Patient",3.88,"Historical Fiction, Historical, Classics, Romance, Fiction","Michael Ondaatje",320,"$12.59","4/18/06",3148,7533,22058,36086,34149,20595
"505","The Tale of the Body Thief",3.72,"Fiction, Fantasy, Paranormal, Horror, Vampires","Anne Rice",468,"$5.60","4/26/05",1456,6772,23395,24895,19742,15252
"506","The Last Lecture",4.26,"Self Help, Inspirational, Nonfiction, Memoir, Biography, Autobiography","Randy Pausch",206,"$1.99","4/8/08",3317,9569,38817,84584,140047,55267
"507","The Call of the Wild",3.85,"Academic, Historical Fiction, Historical, Childrens, School, Classics, Fiction, Literature, Novels, Young Adult, Animals, Adventure","Jack London",172,"$1,950.00","1/1/01",7063,18558,70924,104750,86340,57527
"508","Shiver",3.77,"Paranormal, Shapeshifters, Romance, Werewolves, Young Adult, Fantasy","Maggie Stiefvater",392,"$38.72","8/1/09",19280,38012,93419,113496,136702,80182
"509","Ubik",4.1,"Classics, Science Fiction, Fiction","Philip K. Dick",288,"$220.00","5/1/06",702,2723,12840,27282,27747,14259
"510","The Indian in the Cupboard",3.9,"Chapter Books, Fiction, Fantasy, Young Adult, Childrens, Academic, School, Middle Grade, Juvenile, Classics, Adventure","Lynne Reid Banks",192,"$9.51","4/26/03",1614,4950,22794,31145,28911,17883
"511","Hyperion",4.23,"Science Fiction, Fiction, Fantasy","Dan Simmons",482,"$9.02","3/26/90",2568,6237,21113,48819,76960,31139
"512","Noble House",4.24,"Asian Literature, Fiction, Historical Fiction, Literature, China, Thriller, Asia, Cultural, Historical, Novels, Classics, Adventure","James Clavell",1376,"$366.64","9/1/86",170,753,5418,12468,15901,6942
"513","Baby",3.81,"Fiction, Fantasy, Dystopia, Science Fiction, Thriller, Paranormal, Dark, Aliens, Wildlife, Horror","J.K. Accinni",173,"$18.39 to $41.24","8/26/12",71,77,142,188,353,166
"514","The Girl with the Dragon Tattoo",4.13,"Fiction, Crime, Mystery, Thriller","Stieg Larsson",465,"$10.52","9/16/08",64100,97320,325289,770456,1009950,453423
"515","Feast of Fools",4.16,"Young Adult, Fantasy, Paranormal, Urban Fantasy, Vampires","Rachel Caine",242,"$9.77","6/3/08",488,1662,8942,15626,21705,9685
"516","Haroun and the Sea of Stories",4.01,"India, Fiction, Fantasy, Young Adult, Childrens, Cultural, Magical Realism","Salman Rushdie",224,"$12.99","8/27/99",422,1410,5439,9674,9733,5336
"517","Mere Christianity",4.32,"Christianity, Theology, Nonfiction, Religion, Classics, Christian","C.S. Lewis",191,"$10.00","6/1/96",5697,7841,28095,66245,140191,49614
"518","Prey",3.74,"Science Fiction, Thriller, Fiction","Michael Crichton",507,"$5.46","11/11/03",2629,12033,44180,53427,37828,30019
"519","Gravity's Rainbow",4.03,"Historical Fiction, Historical, Classics, Fiction, Science Fiction, Literature, Novels","Thomas Pynchon",776,"$44.25","10/31/06",1648,2195,4638,8476,14787,6349
"520","The Westing Game",4.02,"Mystery, Childrens, Classics, Middle Grade, Fiction, Young Adult","Ellen Raskin",182,"$4.33","4/12/04",3151,7805,27706,47758,56314,28547
"521","Red Rising",4.27,"Dystopia, Science Fiction, Fiction, Young Adult, Fantasy","Pierce Brown",382,"$174.95","1/28/14",3181,6342,21814,61154,94850,37468
"522","The Way of Shadows",4.16,"Fiction, Epic Fantasy, Magic, Fantasy","Brent Weeks",645,"$17.32","10/1/08",2382,5574,19872,45763,58868,26492
"523","The Dark Elf Trilogy Collector's Edition",4.34,"Fantasy, Dungeons and Dragons, Forgotten Realms, Fiction","R.A. Salvatore",808,"$12.75","2/1/00",189,670,3104,7141,13147,4850
"524","The Remains of the Day",4.12,"Historical Fiction, Historical, Classics, Fiction, Literary Fiction, Literature","Kazuo Ishiguro",258,"$75.00","4/26/05",2031,6598,27895,63612,66438,33315
"525","Redwall",4.12,"Childrens, Fiction, Young Adult, Animals, Fantasy","Brian Jacques",352,"$7.80","9/4/06",1283,3284,16894,33343,39031,18767
"526","Fairest",3.87,"Romance, Fiction, Fantasy, Young Adult, Fairy Tales","Gail Carson Levine",326,"$2.99","9/19/06",779,3593,14768,20086,17053,11256
"527","Into the Wild",4.29,"Fiction, Young Adult, Animals, Fantasy","Erin Hunter",288,"$3.99","1/6/04",1437,2328,8463,17289,36706,13245
"528","Into the Wild",3.97,"Biography, Nonfiction, Travel, Adventure","Jon Krakauer",207,"$3.99","1/20/97",21930,40086,152608,286621,273737,154996
"529","The Curious Incident of the Dog in the Night-Time",3.87,"Fiction, Young Adult, Mystery, Contemporary","Mark Haddon",226,"$14.62","5/18/04",23793,64755,245085,405794,308939,209673
"530","The Lost Symbol",3.69,"Fiction, Mystery, Thriller","Dan Brown",509,"$19.99","9/15/09",12227,44235,135206,158155,115423,93049
"531","The Complete Short Stories of Ernest Hemingway",4.29,"Literature, Short Stories, Fiction, Classics","Ernest Hemingway",650,"$9.59","8/3/98",412,805,3974,10938,15994,6425
"532","P.S. I Love You",4.01,"Contemporary, Womens Fiction, Chick Lit, Romance, Fiction","Cecelia Ahern",501,"$7.36","1/5/05",8037,17820,61666,98830,125925,62456
"533","Never Let Me Go",3.81,"Fiction, Dystopia, Science Fiction","Kazuo Ishiguro",288,"$5.60","8/31/10",10752,30953,94749,145569,115224,79449
"534","Timeline",3.84,"Historical Fiction, Historical, Fiction, Science Fiction, Thriller, Time Travel","Michael Crichton",489,"$399.00","6/26/00",2907,11915,45176,63015,50609,34724
"535","Take My Heart",4.47,"","J.J. Sorel",289,"$6.44","1/8/19",2,0,5,106,119,46
"536","The BFG",4.22,"Fiction, Childrens, Fantasy","Roald Dahl",199,"$21.03","4/26/01",4092,9588,48792,99907,150001,62476
"537","The Way of Kings",4.65,"Fiction, Epic Fantasy, High Fantasy, Fantasy","Brandon Sanderson",1007,"$31.00","8/31/10",1485,2444,10112,45885,168353,45656
"538","The Two Towers",4.44,"Fiction, Classics, Fantasy","J.R.R. Tolkien",322,"$6.98","9/5/03",3346,11182,61099,176320,359730,122335
